names,scores,logfoldchanges,pvals,pvals_adj
SLC27A2,2.4188123,0.7063302,0.015571277973796307,0.04090715333918729
CNTRL,2.3990805,0.5498784,0.016436303968521474,0.04286426549559634
MUM1,2.3926187,0.40976727,0.0167286218240533,0.043539868929071794
RNF10,2.3822334,0.3543925,0.01720798502392415,0.04450731720873368
UNK,2.3740408,0.73775196,0.01759460960010479,0.04534306378242228
BAG6,2.3559244,0.26415837,0.01847667529001651,0.047321253473452785
TMCO3,2.3335388,0.55991757,0.019619888525886992,0.04976242310973275
SLC4A1AP,-2.335039,-0.25927523,0.019541394147707423,0.04959536382237215
TOP3B,-2.335039,-0.5635683,0.019541394147707423,0.04959536382237215
CTDSP1,-2.3361926,-0.26164553,0.019481200663140765,0.049490566367713686
PANK3,-2.336308,-0.43211195,0.019475190233182584,0.049490566367713686
RP9,-2.3390775,-0.37266532,0.019331425129687413,0.049157767689768414
SNW1,-2.3390775,-0.27196142,0.019331425129687413,0.049157767689768414
NUP107,-2.3403468,-0.33219662,0.019265843314892638,0.04902274027809578
BIRC2,-2.3405776,-0.34998795,0.019253940262044855,0.04900832817834165
KIF1B,-2.3440392,-0.40553766,0.019076164219762548,0.04857156238127547
TMF1,-2.3441546,-0.3192524,0.01907026314785369,0.04857156238127547
TSPAN14,-2.34427,-0.8188479,0.01906436367192635,0.04857156238127547
METTL18,-2.345424,-0.6624646,0.01900545661397754,0.04847008496843947
KIAA0947,-2.346347,-0.29132316,0.018958445615781035,0.04836589487234817
PPP2R2A,-2.3464625,-0.28396466,0.018952576396471407,0.04836589487234817
ZNF622,-2.347501,-0.2799617,0.018899824882269205,0.04824768425421664
ABHD11,-2.3479626,-0.84831214,0.01887642100992069,0.048203604367011384
ADO,-2.3479626,-0.56662893,0.01887642100992069,0.048203604367011384
THADA,-2.348078,-0.98214024,0.0188705740036041,0.048203604367011384
CENPA,-2.349578,-0.3380017,0.018794706938156595,0.048073078150185626
ZNF600,-2.352232,-1.2298948,0.018661133997625957,0.04774697314376283
PRKAA1,-2.3530397,-0.2921586,0.018620646555544497,0.04765890475523037
C1orf85,-2.3556936,-0.5409051,0.018488157033757585,0.047335226043078826
HDHD1,-2.3568475,-0.4645958,0.018430810696723386,0.04721918396045734
SRFBP1,-2.3571937,-0.44217166,0.01841363718183101,0.047190577508411935
MED24,-2.3577707,-0.31569368,0.01838504578068653,0.047132681007602054
ZNF507,-2.357886,-0.97126,0.01837933216588565,0.047132681007602054
CCDC127,-2.3591554,-0.40124944,0.018316584912796755,0.04698784274657692
OSGIN2,-2.3593862,-0.41799423,0.018305196491611983,0.046973968781970646
PPP1CB,-2.3613477,-0.28553182,0.018208644929575184,0.046741472523468316
CDC73,-2.3622708,-0.31243452,0.0181633633992564,0.046655729071667436
MNX1-AS1,-2.3625016,-0.45296833,0.01815205843549347,0.04664194275786758
